request_id	round	term_id	campus	open_rows	unique_open_strings	catalog_unique_sections	official_open_matches	official_closed_by_absence	orphan_audit_count	orphan_audit_rate	raw_duplicate_catalog_keys_matched	term_union_matches	term_union_orphans	term_union_multi_scope_indexes	catalog_snapshot_open_disagrees_closed	catalog_snapshot_open_missing_from_live	body_sha256	etag	cache_control	unsafe_empty	official_join_result
OPEN-R1-019	1	72026	ONLINE_NK	829	829	165	118	47	711	0.85765983	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	1282966506	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-020	1	72026	ONLINE_CM	829	829	180	144	36	685	0.82629674	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	1320363608	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R1-021	1	92026	D	12645	12645	3	3	0	12642	0.99976275	0	12640	5	1080	0	0	4C1673CF5A06EE2DAB7ACA3160BBEAF247B0810B277C0116ACA6CA56F7FC715A	1143939284	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-001	2	92026	NB	12641	12641	11924	9049	2875	3592	0.28415473	4	12636	5	1079	30	33	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	834620110	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-002	2	92026	NK	12641	12641	2633	2103	530	10538	0.83363658	0	12636	5	1079	10	8	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	1828245636	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-003	2	92026	CM	12641	12641	1678	1389	289	11252	0.89011945	0	12636	5	1079	2	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	1634270288	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-004	2	92026	ONLINE_NB	1098	1098	1411	750	661	348	0.31693989	4	1098	0	1079	4	5	E2BE3F98188517C57F9F214FE176C7C1FD61D17F474BC3D839FA022B65D89F36	290943412	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-005	2	92026	ONLINE_NK	1098	1098	225	148	77	950	0.86520947	0	1098	0	1079	1	2	E2BE3F98188517C57F9F214FE176C7C1FD61D17F474BC3D839FA022B65D89F36	1258074528	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-006	2	92026	ONLINE_CM	1098	1098	299	181	118	917	0.83515483	0	1098	0	1079	0	0	E2BE3F98188517C57F9F214FE176C7C1FD61D17F474BC3D839FA022B65D89F36	680388396	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-007	2	92026	B	12641	12641	0	0	0	12641	1.0	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	1377756563	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-008	2	92026	CC	12641	12641	46	46	0	12595	0.99636105	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	867645820	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-009	2	92026	H	12641	12641	3	2	1	12639	0.99984178	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	1192767088	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-010	2	92026	CU	0	0	0	0	0	0	0	0	0	0	0	0	0	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	681380905	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-011	2	92026	MC	12641	12641	0	0	0	12641	1.0	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	2079071272	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-012	2	92026	L	12641	12641	25	23	2	12618	0.99818052	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	912654907	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-013	2	92026	AC	12641	12641	22	21	1	12620	0.99833874	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	1190685546	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-014	2	92026	J	12641	12641	0	0	0	12641	1.0	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	1532517570	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-015	2	72026	NB	2069	2069	1697	1338	359	731	0.35331078	0	2053	16	827	0	0	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	1830122562	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-016	2	72026	NK	2069	2069	624	520	104	1549	0.74867086	0	2053	16	827	0	0	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	579969331	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-017	2	72026	CM	2069	2069	271	195	76	1874	0.90575157	0	2053	16	827	0	0	1814D0B9FD81FA7E72E4A4DE2E1EFE7702CC418DF30D18138D050087CF5A1608	1833880744	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-018	2	72026	ONLINE_NB	829	829	845	565	280	264	0.31845597	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	714495398	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-019	2	72026	ONLINE_NK	829	829	165	118	47	711	0.85765983	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	1032736533	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-020	2	72026	ONLINE_CM	829	829	180	144	36	685	0.82629674	0	827	2	827	0	0	366CBAE112B2918EC2AAE35C7E2C7EBB8FFCA0A2055A9582BDE844110B5A9201	839163241	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
OPEN-R2-021	2	92026	D	12641	12641	3	3	0	12638	0.99976268	0	12636	5	1079	0	0	8FAEEB048285E44702BCEF11834475E103CBB26457A337BD636FC858CBEACBE5	1018982254	max-age=30	false	PASS_INTERSECTION_ORPHANS_AUDITED
