request_id	term_id	year	term	campus	url	started_at_utc	completed_at_utc	http_status	duration_ms	bytes	decoded_bytes	content_type	content_encoding	response_date	etag	last_modified	cache_control	age	wire_sha256	body_sha256	top_level_rows	outcome	error_class	raw_relative_path	notes
CAT-C010	92026	2026	9	CU	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=CU	2026-07-12T18:56:06.192867Z	2026-07-12T18:56:07.394784Z	200	1201.92	22	2	application/json	gzip	Sun, 12 Jul 2026 18:56:09 GMT	681380905		max-age=900		2E4F23DE4086A47E7D4F246638BBE838E34A17B8DE971D719F93EF940AD46F2C	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	0	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C010_92026_CU_courses.json	
CAT-C011	92026	2026	9	MC	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=MC	2026-07-12T18:56:12.396223Z	2026-07-12T18:56:13.726647Z	200	1330.409	22	2	application/json	gzip	Sun, 12 Jul 2026 18:56:15 GMT	1449507914		max-age=900		2E4F23DE4086A47E7D4F246638BBE838E34A17B8DE971D719F93EF940AD46F2C	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	0	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C011_92026_MC_courses.json	
CAT-C012	92026	2026	9	L	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=L	2026-07-12T18:56:18.727710Z	2026-07-12T18:56:19.876195Z	200	1148.489	5044	58633	application/json	gzip	Sun, 12 Jul 2026 18:56:21 GMT	504465203		max-age=900		F194B1813EAE28191D29408DB91B6D219BEF90BA2FCF54443B28C92B6B322E25	6D8BA72CBFD5CC9EB5659DC84D4E463B071A8F4239DB1E3561A6B55F0F751717	24	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C012_92026_L_courses.json	
CAT-C013	92026	2026	9	AC	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=AC	2026-07-12T18:56:24.879729Z	2026-07-12T18:56:25.976218Z	200	1096.492	4628	60924	application/json	gzip	Sun, 12 Jul 2026 18:56:28 GMT	1153620839		max-age=900		BD9A639C67F33886558D9869C0A1B354E2703C5C44BB8BA14A11C3696DFBD692	8944FD56B429B620F5D171F88C95B9F23C1E3E16D87CBFFA565A4A51AE432156	18	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C013_92026_AC_courses.json	
CAT-C014	92026	2026	9	J	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=J	2026-07-12T18:56:31.721931Z	2026-07-12T18:56:32.903828Z	200	1181.901	22	2	application/json	gzip	Sun, 12 Jul 2026 18:56:34 GMT	1306879236		max-age=900		2E4F23DE4086A47E7D4F246638BBE838E34A17B8DE971D719F93EF940AD46F2C	4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945	0	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C014_92026_J_courses.json	
CAT-C015	72026	2026	7	NB	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=7&campus=NB	2026-07-12T18:56:37.906371Z	2026-07-12T18:56:40.451958Z	200	2545.59	171810	3553897	application/json	gzip	Sun, 12 Jul 2026 18:56:41 GMT	2021822053		max-age=900		B9F6EF0767E5F90A7EBEC417744E0FC1E40498F81FF65DB33F89685C7C1FF585	C3176058526B88A1FB198E850246FCF6F797E8D0ECF55BE04EBF2FD9D87056A5	1045	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C015_72026_NB_courses.json	
CAT-C016	72026	2026	7	NK	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=7&campus=NK	2026-07-12T18:56:45.484156Z	2026-07-12T18:56:46.913411Z	200	1429.257	55694	1294383	application/json	gzip	Sun, 12 Jul 2026 18:56:48 GMT	715965995		max-age=900		C542AD73C2C2E477FC7AF9374B91970BCA922601F468CE92C55537186D708333	F261F714F55BF625B2E62F8CFD8A5618E90D158B36860FCBE60B8892A75ADEE6	394	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C016_72026_NK_courses.json	
CAT-C017	72026	2026	7	CM	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=7&campus=CM	2026-07-12T18:56:51.924840Z	2026-07-12T18:56:53.364726Z	200	1439.889	32614	625895	application/json	gzip	Sun, 12 Jul 2026 18:56:55 GMT	1486193653		max-age=900		A1D38BAC0767A2F6B62B2BC0F32D5960189A024F7178DFC87F872E059AF678C5	B26AF4D382AE119B39891513E0F9DAE369033CA43179155DA78C158F4A4C376D	213	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C017_72026_CM_courses.json	
CAT-C018	72026	2026	7	ONLINE_NB	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=7&campus=ONLINE_NB	2026-07-12T18:56:58.376705Z	2026-07-12T18:56:59.883778Z	200	1507.075	92188	1874930	application/json	gzip	Sun, 12 Jul 2026 18:57:01 GMT	1923082118		max-age=900		05A12EFD3D3B66603B1EFA2621EFF3F9265A90771ED82F905544B4FDD5A256C1	371814D81C001D9730DB88EAD85D47DA3D5A0126D9F3F1A55D73A8E67451AC99	598	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C018_72026_ONLINE_NB_courses.json	
CAT-C019	72026	2026	7	ONLINE_NK	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=7&campus=ONLINE_NK	2026-07-12T18:57:04.898962Z	2026-07-12T18:57:05.978732Z	200	1079.772	19211	380602	application/json	gzip	Sun, 12 Jul 2026 18:57:08 GMT	921681323		max-age=900		105F02CF6993CD3B51FCA6EA2A0FC6931F26DCB53AD491DB58470C1701E7D0F9	719C298ED24DA7483DA2092E928F062E9B4294E4246A2A3F29CBA41C3D00B068	146	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C019_72026_ONLINE_NK_courses.json	
CAT-C020	72026	2026	7	ONLINE_CM	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=7&campus=ONLINE_CM	2026-07-12T18:57:10.986503Z	2026-07-12T18:57:12.054416Z	200	1067.918	24085	444061	application/json	gzip	Sun, 12 Jul 2026 18:57:14 GMT	1346619911		max-age=900		CA936A5F834CA14DF6F9104C3285FB7B092B3CC127A0C43C5C2A3DE26D134EBD	5BD7084EDEC706E190F983D82E54788AFAF5B058E9C0B907699234C45E5BC517	163	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C020_72026_ONLINE_CM_courses.json	
CAT-C021	92026	2026	9	D	https://classes.rutgers.edu/soc/api/courses.json?year=2026&term=9&campus=D	2026-07-13T02:56:35.831878Z	2026-07-13T02:56:36.933983Z	200	1102.107	1448	6911	application/json	gzip	Mon, 13 Jul 2026 02:56:36 GMT	64691858		max-age=900		43D41090D5299310B732D0920A0B6EB63725A6C31AA38B07499020D3755F944F	E55E92E2D0150EF04BFE1B758883E25C71826C70C24750DDAA2AF80F2A6B3F13	3	SUCCESS		data/staging/p3-rutgers-evidence-20260713/catalog/CAT-C021_92026_D_courses.json	
