section_course_type	occurrence_kind	oracle_outcome	raw_section_rows	section_type_total	rate_within_section_type
H	PHYSICAL_ONLY	HYBRID	152	808	0.18811881
H	REMOTE_AND_PHYSICAL	HYBRID	646	808	0.79950495
H	REMOTE_ONLY	HYBRID	10	808	0.01237624
O	PHYSICAL_ONLY	UNKNOWN_CONFLICT	10	6289	0.00159008
O	REMOTE_ONLY	ONLINE	6279	6289	0.99840992
T	NO_EXPLICIT_KIND	ON_CAMPUS_OR_IN_PERSON	4524	14972	0.30216404
T	PHYSICAL_ONLY	ON_CAMPUS_OR_IN_PERSON	10274	14972	0.68621427
T	REMOTE_AND_PHYSICAL	UNKNOWN_CONFLICT	11	14972	0.0007347
T	REMOTE_ONLY	UNKNOWN_CONFLICT	163	14972	0.01088699
