meeting_day	meeting_count	scope_count	scopes
<EMPTY>	12863	16	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/H,92026/L,92026/NB,92026/NK,92026/ONLINE_CM,92026/ONLINE_NB,92026/ONLINE_NK
T	4277	16	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/H,92026/L,92026/NB,92026/NK,92026/ONLINE_CM,92026/ONLINE_NB,92026/ONLINE_NK
H	4199	17	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/D,92026/H,92026/L,92026/NB,92026/NK,92026/ONLINE_CM,92026/ONLINE_NB,92026/ONLINE_NK
M	4098	16	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/D,92026/L,92026/NB,92026/NK,92026/ONLINE_CM,92026/ONLINE_NB,92026/ONLINE_NK
W	3812	16	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/AC,92026/CC,92026/CM,92026/D,92026/L,92026/NB,92026/NK,92026/ONLINE_CM,92026/ONLINE_NB,92026/ONLINE_NK
F	1468	12	72026/CM,72026/NB,72026/NK,72026/ONLINE_CM,72026/ONLINE_NB,72026/ONLINE_NK,92026/CC,92026/CM,92026/NB,92026/NK,92026/ONLINE_NB,92026/ONLINE_NK
S	70	9	72026/CM,72026/NB,72026/NK,72026/ONLINE_NK,92026/CM,92026/NB,92026/NK,92026/ONLINE_NB,92026/ONLINE_NK
U	17	5	72026/CM,72026/NK,72026/ONLINE_NK,92026/NB,92026/NK
