ecosystem	name	version	license_file	sha256	lock_key	evidence_status	reason
npm	@rolldown/binding-linux-arm64-gnu	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-linux-arm64-gnu	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-linux-arm64-musl	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-linux-arm64-musl	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-linux-ppc64-gnu	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-linux-ppc64-gnu	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-linux-s390x-gnu	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-linux-s390x-gnu	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-linux-x64-gnu	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-linux-x64-gnu	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-linux-x64-musl	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-linux-x64-musl	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-openharmony-arm64	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-openharmony-arm64	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-wasm32-wasi	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-wasm32-wasi	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-win32-arm64-msvc	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-win32-arm64-msvc	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/binding-win32-x64-msvc	1.1.5	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@rolldown/binding-win32-x64-msvc	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@rolldown/pluginutils	1.0.1	LICENSE	E1919B3B98B8BF6C1B99FCC60A0ED46027C97AC947432E1278446C9606F50161	npm:node_modules/@rolldown/pluginutils	HASHED	PACKAGED_LICENSE_FILE
npm	@standard-schema/spec	1.1.0	LICENSE	653B779005A3A4D64A7288C940F7B9A0E8F0B1E0375F6AA6AF9473CAF131E564	npm:node_modules/@standard-schema/spec	HASHED	PACKAGED_LICENSE_FILE
